problemSize	problemNum	lineTypes	boxLimit	boxNum	machineCount	carCount	bufferSize	sortReturns	iterCount	dynamic	sameTemperature	maxDif	startThres	power	moveProb	other	best	worst	mean
50	1	A		101	6	20	5	true	1000000	false	1000		2992.0	0.9901128602752486	0.5	none	5185	5194	5187.5
50	1	A		101	6	20	5	true	1000000	false	5000		2992.0	0.9515322391558165	0.5	none	5186	5194	5187.0
50	1	A		101	6	20	5	true	1000000	false	10000		2992.0	0.905413602152882	0.5	none	5185	5186	5185.6
50	1	A		101	6	20	5	true	1000000	false	20000		2992.0	0.8197737909634573	0.5	none	5186	5188	5186.2
50	1	A		101	6	20	5	true	1000000	false	40000		2992.0	0.6720290683505982	0.5	none	5185	5193	5186.7
100	1	A		218	8	20	5	true	1000000	false	10000		4254.0	0.9022328918442961	0.5	none	9521	9786	9645.3
100	1	A		218	8	20	5	true	1000000	false	20000		4254.0	0.8140241911257213	0.5	none	9556	9736	9626.7
100	1	A		218	8	20	5	true	1000000	false	40000		4254.0	0.6626353837378848	0.5	none	9536	9740	9623.7
100	1	A		218	8	20	5	true	1000000	false	80000		4254.0	0.4390856517814538	0.5	none	9512	9843	9656.8
100	1	A		218	8	20	5	true	1000000	false	160000		4254.0	0.1927962096003441	0.5	none	9571	9845	9705.4
20	4	A		27	6	20	6	true	1000000	false	1		3496.0	0.9999899080314536	0.5	itemBased	2455	2517	2480.8
50	1	A		101	6	20	5	true	1000000	false	1		2798.0	0.9999901307438123	0.5	itemBased	5185	5187	5185.9
100	1	A		218	8	20	5	true	1000000	false	1		5678.0	0.9999894230568653	0.5	itemBased	9327	9616	9478.6
20	4	A		27	6	20	6	true	1000000	false	1		2464.0	0.9999902578613964	0.5	bestStart	2455	2517	2481.3
50	1	A		101	6	20	5	true	1000000	false	1		3638.0	0.9999898682172339	0.5	bestStart	5185	5186	5185.7
100	1	A		218	8	20	5	true	1000000	false	1		5870.0	0.9999893898016418	0.5	bestStart	9347	9872	9610.1
50	2	A		89	8	20	6	true	1000000	true	1	1752	3504.0	0.9999899057457614	0.5	none	4401	4551	4461.6
20	4	A		27	6	20	6	true	1000000	false	1	1170	100.0	0.9999934622064516	0.5	bestStart	2455	2504	2474.6
20	4	A		27	6	20	6	true	1000000	false	1	1170	500.0	0.9999918527803564	0.5	bestStart	2455	2504	2476.7
20	4	A		27	6	20	6	true	1000000	false	1	1170	1000.0	0.9999911596390634	0.5	bestStart	2455	2504	2472.5
20	4	A		27	6	20	6	true	1000000	false	1	1170	2000.0	0.9999904664982506	0.5	bestStart	2455	2517	2480.1
20	4	A		27	6	20	6	true	1000000	false	1	1170	4000.0	0.9999897733579184	0.5	bestStart	2455	2504	2464.8
20	4	A		27	6	20	6	true	1000000	false	1	1170	6000.0	0.9999893678970391	0.5	bestStart	2455	2517	2480.8
20	4	A		27	6	20	6	true	1000000	false	1	1428	50.0	0.9999941553493407	0.5	bestStart	2455	2497	2464.1
20	4	A		27	6	20	6	true	1000000	false	1	1428	200.0	0.9999927690640429	0.5	bestStart	2455	2490	2464.8
20	4	A		27	6	20	6	true	1000000	false	1	1428	800.0	0.9999913827806669	0.5	bestStart	2455	2497	2464.1
50	2	A		89	8	20	6	true	1000000	false	1	1684	10.0	0.9999957647791416	0.5	bestStart	4421	4461	4441.4
50	2	A		89	8	20	6	true	1000000	false	1	1684	50.0	0.9999941553493407	0.5	bestStart	4392	4534	4481.7
50	2	A		89	8	20	6	true	1000000	false	1	1684	100.0	0.9999934622064516	0.5	bestStart	4380	4562	4489.7
50	2	A		89	8	20	6	true	1000000	false	1	1684	200.0	0.9999927690640429	0.5	bestStart	4445	4562	4502.5
50	2	A		89	8	20	6	true	1000000	false	1	1684	500.0	0.9999918527803564	0.5	bestStart	4409	4584	4481.3
50	2	A		89	8	20	6	true	1000000	false	1	1684	800.0	0.9999913827806669	0.5	bestStart	4397	4596	4510.1
50	2	A		89	8	20	6	true	1000000	false	1	1684	1000.0	0.9999911596390634	0.5	bestStart	4437	4598	4518.4
50	2	A		89	8	20	6	true	1000000	false	1	1684	1500.0	0.9999907541776218	0.5	bestStart	4408	4603	4506.3
50	2	A		89	8	20	6	true	1000000	false	1	1684	2000.0	0.9999904664982506	0.5	bestStart	4409	4603	4494.5
50	2	A		89	8	20	6	true	1000000	false	1	1684	4000.0	0.9999897733579184	0.5	bestStart	4429	4562	4522.8
100	1	A		218	8	20	5	true	1000000	false	1	2591	10.0	0.9999957647791416	0.5	bestStart	9293	9543	9431.2
100	1	A		218	8	20	5	true	1000000	false	1	2591	50.0	0.9999941553493407	0.5	bestStart	9390	9766	9584.9
100	1	A		218	8	20	5	true	1000000	false	1	2591	100.0	0.9999934622064516	0.5	bestStart	9409	9709	9587.1
100	1	A		218	8	20	5	true	1000000	false	1	2591	200.0	0.9999927690640429	0.5	bestStart	9298	9764	9554.5
100	1	A		218	8	20	5	true	1000000	false	1	2591	500.0	0.9999918527803564	0.5	bestStart	9375	9851	9587.8
100	1	A		218	8	20	5	true	1000000	false	1	2591	800.0	0.9999913827806669	0.5	bestStart	9343	9696	9599.6
100	1	A		218	8	20	5	true	1000000	false	1	2591	1000.0	0.9999911596390634	0.5	bestStart	9410	9717	9570.4
100	1	A		218	8	20	5	true	1000000	false	1	2591	1500.0	0.9999907541776218	0.5	bestStart	9472	9891	9634.5
100	1	A		218	8	20	5	true	1000000	false	1	2591	2000.0	0.9999904664982506	0.5	bestStart	9497	9781	9606.4
100	1	A		218	8	20	5	true	1000000	false	1	2591	4000.0	0.9999897733579184	0.5	bestStart	9409	9732	9615.0
100	1	A		218	8	20	5	true	1000000	false	1	2591	8000.0	0.9999890802180667	0.5	bestStart	9537	9793	9641.1
100	1	A		218	8	20	5	true	1000000	false	1	2173	1.0	0.9999980673571336	0.5	bestStart	9404	9627	9524.9
100	1	A		218	8	20	5	true	1000000	false	1	2935	5.0	0.9999964579236268	0.5	bestStart	9285	9654	9469.7
50	2	A		89	8	20	6	true	10000000	false	1	1811	5.0	0.9999996457917981	0.5	bestStart	4378	4454	4394.2
50	2	A		89	8	20	6	true	10000000	false	1	1811	10.0	0.999999576477107	0.5	bestStart	4380	4433	4404.9
50	2	A		89	8	20	6	true	10000000	false	1	1811	20.0	0.9999995071624207	0.5	bestStart	4366	4520	4414.5
50	2	A		89	8	20	6	true	10000000	false	1	1811	50.0	0.9999994155333969	0.5	bestStart	4387	4541	4467.3
50	2	A		89	8	20	6	true	10000000	false	1	1811	100.0	0.9999993462187218	0.5	bestStart	4374	4529	4433.8
50	2	A		89	8	20	6	true	10000000	false	1	1811	500.0	0.9999991852750486	0.5	bestStart	4378	4518	4448.2
20	4	A		27	6	20	6	false	12989919	false	1	1650	1650.0	0.9999992808906705	0.5	none	2455	2476	2463.5
20	4	A		27	6	20	6	false	1298992	false	1	1107	1107.0	0.9999931161832492	0.5	none	2455	2504	2477.4
50	2	A		89	8	20	6	false	1631714	false	1	1826	1826.0	0.9999942131400026	0.5	none	4429	4551	4498.7
100	1	A		218	8	20	5	false	2117531	false	1	2216	2216.0	0.9999954493786128	0.5	none	9244	9675	9441.6
20	4	A		27	6	20	6	true	10000000	false	1	1316	5.0	0.9999996457917981	0.5	none	2455	2517	2492.0
20	4	A		27	6	20	6	true	10000000	false	1	1316	10.0	0.999999576477107	0.5	none	2455	2504	2479.5
20	4	A		27	6	20	6	true	10000000	false	1	1316	20.0	0.9999995071624207	0.5	none	2455	2517	2470.3
20	4	A		27	6	20	6	true	10000000	false	1	1316	50.0	0.9999994155333969	0.5	none	2455	2476	2463.3
20	4	A		27	6	20	6	true	10000000	false	1	1316	100.0	0.9999993462187218	0.5	none	2455	2483	2462.0
20	4	A		27	6	20	6	true	10000000	false	1	1316	500.0	0.9999991852750486	0.5	none	2455	2476	2461.3
20	4	A		27	6	20	6	true	10000000	false	1	1316	1316.0	0.9999990885007308	0.5	none	2455	2476	2459.9
50	2	A		89	8	20	6	true	10000000	false	1	2103	5.0	0.9999996457917981	0.5	none	4380	4529	4436.6
50	2	A		89	8	20	6	true	10000000	false	1	2103	10.0	0.999999576477107	0.5	none	4370	4520	4431.1
50	2	A		89	8	20	6	true	10000000	false	1	2103	20.0	0.9999995071624207	0.5	none	4378	4513	4459.6
50	2	A		89	8	20	6	true	10000000	false	1	2103	50.0	0.9999994155333969	0.5	none	4380	4483	4431.0
50	2	A		89	8	20	6	true	10000000	false	1	2103	100.0	0.9999993462187218	0.5	none	4366	4589	4434.9
50	2	A		89	8	20	6	true	10000000	false	1	2103	500.0	0.9999991852750486	0.5	none	4394	4584	4471.0
50	2	A		89	8	20	6	true	10000000	false	1	2103	2103.0	0.9999990416239682	0.5	none	4380	4502	4443.5
100	1	A		218	8	20	5	true	10000000	false	1	2722	5.0	0.9999996457917981	0.5	none	9194	9480	9360.2
100	1	A		218	8	20	5	true	10000000	false	1	2722	10.0	0.999999576477107	0.5	none	9118	9397	9305.2
100	1	A		218	8	20	5	true	10000000	false	1	2722	20.0	0.9999995071624207	0.5	none	9132	9563	9292.1
100	1	A		218	8	20	5	true	10000000	false	1	2722	50.0	0.9999994155333969	0.5	none	9173	9375	9292.6
100	1	A		218	8	20	5	true	10000000	false	1	2722	100.0	0.9999993462187218	0.5	none	9174	9438	9316.2
100	1	A		218	8	20	5	true	10000000	false	1	2722	500.0	0.9999991852750486	0.5	none	9159	9376	9283.2
100	1	A		218	8	20	5	true	10000000	false	1	2722	2722.0	0.9999990158237926	0.5	none	9229	9459	9365.8
